0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Genesis,1,5,diem,dies,noun,-,-,singular,-,-,-,-,-,masculine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,5,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,5,tenebras,tenebra,noun,-,-,plural,-,-,-,-,-,feminine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,5,noctem,nox,noun,-,-,singular,-,-,-,-,-,feminine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,5,factumque,facto,verb,-,-,singular,passive,-,past,-,-,neuter,-,nominative,perfective,-,-,-,-,-,participle,positive
Genesis,1,5,est,sum,auxiliary,-,-,singular,active,-,present,-,-,-,-,-,-,-,-,indicative,-,third,finite,-
Genesis,1,5,vespere,vespere,noun,-,-,singular,-,-,-,-,-,neuter,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,5,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,5,mane,mane,noun,-,-,singular,-,-,-,-,-,-,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,5,dies,dies,noun,-,-,singular,-,-,-,-,-,masculine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,5,unus,unus,numeral,cardinal,-,singular,-,-,-,-,-,masculine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,5,;,;,punctuation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,6,dixit,dico,verb,-,-,singular,active,-,past,-,-,-,-,-,perfective,-,-,indicative,-,third,finite,-
Genesis,1,6,quoque,quoque,subordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,6,Deus,Deus,proper_noun,-,-,singular,-,-,-,-,-,masculine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,6,fiat,facio,verb,-,-,singular,passive,-,present,-,-,-,-,-,imperfective,-,-,subjunctive,-,third,finite,-
Genesis,1,6,firmamentum,firmamentum,noun,-,-,singular,-,-,-,-,-,neuter,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,6,in,in,adposition,-,-,-,-,-,-,-,-,-,-,-,-,-,preposition,-,-,-,-,-
Genesis,1,6,medio,medius,adjective,-,-,singular,-,-,-,-,-,neuter,-,ablative,-,-,-,-,-,-,-,positive
Genesis,1,6,aquarum,aqua,noun,-,-,plural,-,-,-,-,-,feminine,-,genitive,-,-,-,-,-,-,-,-
Genesis,1,6,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,6,dividat,dividat,verb,-,-,singular,active,-,present,-,-,-,-,-,imperfective,-,-,subjunctive,-,third,finite,-
Genesis,1,6,aquas,aqua,noun,-,-,plural,-,-,-,-,-,feminine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,6,ab,ab,adposition,-,-,-,-,-,-,-,-,-,-,-,-,-,preposition,-,-,-,-,-
Genesis,1,6,aquis,aquis,noun,-,-,plural,-,-,-,-,-,feminine,-,ablative,-,-,-,-,-,-,-,-
Genesis,1,6,;,;,punctuation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,7,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,7,fecit,facio,verb,-,-,singular,active,-,past,-,-,-,-,-,perfective,-,-,indicative,-,third,finite,-
Genesis,1,7,Deus,Deus,proper_noun,-,-,singular,-,-,-,-,-,masculine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,7,firmamentum,firmamentum,noun,-,-,singular,-,-,-,-,-,neuter,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,7,divisitque,discio,verb,-,-,plural,active,-,past,-,-,-,-,-,perfective,-,-,indicative,-,third,finite,-
Genesis,1,7,aquas,aqua,noun,-,-,plural,-,-,-,-,-,feminine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,7,quae,qui,pronoun,-,-,plural,-,relative,-,-,-,feminine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,7,erant,sum,verb,-,-,plural,active,-,past,-,-,-,-,-,imperfective,-,-,indicative,-,third,finite,-
Genesis,1,7,sub,sub,adposition,-,-,-,-,-,-,-,-,-,-,-,-,-,preposition,-,-,-,-,-
Genesis,1,7,firmamento,firmamentum,noun,-,-,singular,-,-,-,-,-,neuter,-,ablative,-,-,-,-,-,-,-,-
Genesis,1,7,ab,ab,adposition,-,-,-,-,-,-,-,-,-,-,-,-,-,preposition,-,-,-,-,-
Genesis,1,7,his,hic,pronoun,-,-,plural,-,demonstrative,-,-,-,neuter,-,ablative,-,-,-,-,-,-,-,-
Genesis,1,7,quae,qui,pronoun,-,-,plural,-,relative,-,-,-,neuter,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,7,erant,sum,verb,-,-,plural,active,-,past,-,-,-,-,-,imperfective,-,-,indicative,-,third,finite,-
Genesis,1,7,super,super,adposition,-,-,-,-,-,-,-,-,-,-,-,-,-,preposition,-,-,-,-,-
Genesis,1,7,firmamentum,firmamentum,noun,-,-,singular,-,-,-,-,-,neuter,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,7,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,7,factum,facio,verb,-,-,singular,passive,-,past,-,-,neuter,-,nominative,perfective,-,-,-,-,-,participle,positive
Genesis,1,7,est,sum,auxiliary,-,-,singular,active,-,present,-,-,-,-,-,-,-,-,indicative,-,third,finite,-
Genesis,1,7,ita,ita,adverb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,7,;,;,punctuation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
